date_creat,full_stree,l_zip,post_type,r_zip,shape_leng,st_label,st_name,status,distance,angle,Lng,Lat,ID,placepulse_zip,placepulse_beautiful,placepulse_boring,placepulse_depressing,placepulse_lively,placepulse_safety,placepulse_sky,placepulse_tree,placepulse_road,placepulse_grass,placepulse_person,placepulse_earth,placepulse_mountain,placepulse_car,placepulse_water,placepulse_fence,placepulse_streetlight,placepulse_wall,placepulse_building,placepulse_plant,placepulse_signboard,placepulse_sidewalk,placepulse_chair,placepulse_awning,placepulse_railing,placepulse_skyscraper,placepulse_bridge,placepulse_bicycle,placepulse_van,placepulse_ceiling,placepulse_column,placepulse_windowpane,placepulse_ashcan,placepulse_sculpture,placepulse_minibike,placepulse_pier,placepulse_fountain,placepulse_bulletin board,placepulse_lamp,placepulse_booth,placepulse_lake,placepulse_sofa,placepulse_desk,placepulse_glass
2007/11/29,E  64 ST,"10065",ST,"10065",708.649279387,E 64 ST,"64","2",110,119.159049739108,-73.963,40.764,"3945","10065",35.714115,56.25799,61.132908,80.44847,58.03192,0.036941,0.165438,0.19534,,0.000926,,,0.140746,,,,,0.406902,,0.007371,0.046336,,,,,,,,,,,,,,,,,,,,,,
2007/11/29,W  97 ST,"10025",ST,"10025",470.100722029,W 97 ST,"97","2",10,299.441148001614,-73.973,40.796,"6427","10025",40.92567,50.50417,56.80416,52.03783,70.418655,0.052504,0.086055,0.146832,,,,,0.119039,,0.001195,,7e-05,0.501137,0.003281,,0.054289,,,0.000133,,,,0.022172,,,,,,,,,,,,,,,
2007/11/29,E  40 ST,"10016",ST,"10016",31.4817139498,E 40 ST,"40","2",10,119.20463848192,-73.979,40.751,"17022","10016",28.988247,53.592625,81.60371,57.0725,51.70295,0.023047,0.006926,0.248156,,0.003285,,,0.02093,,,,0.003281,0.529895,,,0.102797,,,,0.024859,,,0.036824,,,,,,,,,,,,,,,
